clipped_smiles	ID
CCC(Nc1nc(C)cs1)C([15CH3])=O	EN300-102077
Cc1c[nH]c(C([15CH3])=O)c1	EN300-102085
COc1cc(C([15CH3])=O)ncc1C	EN300-102123
[15CH3]C(=O)c1cncc(Cl)n1	EN300-102250
[15CH3]C(=O)c1cnc(Br)s1	EN300-102252
[15CH3]C(=O)c1cc(O)no1	EN300-102255
[15CH3]C(=O)c1ccc(-c2cc[nH]n2)cc1	EN300-102271
[15CH3]C(=O)c1ccncc1O	EN300-102282
CCCC(C)C(N)C([15CH3])=O	EN300-102284
[15CH3]C(=O)c1cnoc1-c1ccccc1	EN300-102300
[15CH3]C(=O)c1cc(C#N)cs1	EN300-102306
[15CH3]C(=O)c1cc(Cl)cc(C#N)c1	EN300-102335
[15CH3]C(=O)CCCc1cccc(Cl)c1	EN300-102345
[15CH3]C(=O)C1(Cc2ccccc2)CC1	EN300-102352
CCC1(C([15CH3])=O)CCC1	EN300-102357
[15CH3]C(=O)C1Cc2ccccc2C(=O)O1	EN300-10237
CCCC(C)C(N)C([15CH3])=O	EN300-102372
CSCc1ccc(C([15CH3])=O)o1	EN300-10238
CCC1(C([15CH3])=O)COC1	EN300-102401
Cc1cc(C([15CH3])=O)sc1Br	EN300-102413
Cn1nc(C([15CH3])=O)c2c1CCC2	EN300-102444
Cc1cc(C([15CH3])=O)ccc1O	EN300-102449
Cn1c(=O)[nH]cc(C([15CH3])=O)c1=O	EN300-102487
Cc1cccc2c(CC([15CH3])=O)noc12	EN300-102507
[15CH3]C(=O)Cc1noc2ccc(F)cc12	EN300-102511
COc1cc(C([15CH3])=O)ncc1C	EN300-102514
[15CH3]C(=O)Cc1cn2cc(Cl)ccc2n1	EN300-102515
[15CH3]C(=O)[C@@H](N)CC1CCCCC1	EN300-102569
[15CH3]C(=O)c1ccn2ccnc2c1	EN300-102614
[15CH3]C(=O)CCc1cnccn1	EN300-102615
CS(=O)(=O)Nc1ccccc1C([15CH3])=O	EN300-10272
[15CH3]C(=O)CCCc1ccc(O)cc1	EN300-102750
[15CH3]C(=O)c1cc(F)cc(Cl)c1	EN300-102825
COc1ccc(F)c(C([15CH3])=O)c1F	EN300-102843
COc1cccc(C([15CH3])=O)n1	EN300-102850
Cc1cc(O)cc(=O)n1CC([15CH3])=O	EN300-102864
CCC[C@@H](NC(N)=O)C([15CH3])=O	EN300-102901
CCSc1ccc(Cl)cc1C([15CH3])=O	EN300-102935
[15CH3]C(=O)C1CC1Cc1ccccc1	EN300-102950
[15CH3]C(=O)c1ccc(-n2cccc2)nc1	EN300-102964
[15CH3]C(=O)c1n[nH]c2c1COCC2	EN300-103031
[15CH3]C(=O)CCc1ccoc1	EN300-103040
CC(C)CC(C)(C)C([15CH3])=O	EN300-103043
Cc1cc(CCCC([15CH3])=O)c(C)s1	EN300-103048
[15CH3]C(=O)c1cc(F)ccn1	EN300-103100
CSCCC(O)C([15CH3])=O	EN300-103144
[15CH3]C(=O)Cc1cncc(F)c1	EN300-103168
[15CH3]C(=O)C1CCCCC1N	EN300-103185
Cc1cc(O)cc(=O)n1C(C)C([15CH3])=O	EN300-103193
[15CH3]C(=O)[C@@H]1CC(=O)N1	EN300-103219
COc1cnccc1C([15CH3])=O	EN300-103221
[15CH3]C(=O)CCCc1cccc(Br)c1	EN300-103240
[15CH3]C(=O)c1cc2cccc(Cl)c2o1	EN300-103274
[15CH3]C(=O)c1cc(F)cc(S(N)(=O)=O)c1	EN300-103281
[15CH3]C(=O)CCOC1CCOCC1	EN300-103297
[15CH3]C(=O)C12CCC(=O)N1CCS2	EN300-10334
Cc1ccc2[nH]c(C([15CH3])=O)c(C)c2c1	EN300-103388
Cc1nccnc1C([15CH3])=O	EN300-103392
[15CH3]C(=O)c1ccc(-c2cc[nH]n2)s1	EN300-103394
Cc1c(C([15CH3])=O)[nH]c2c(C)cccc12	EN300-103403
[15CH3]C(=O)c1ccc2cccc(F)c2n1	EN300-103414
COc1cc(C)ccc1C([15CH3])=O	EN300-103433
Cc1cc(O)cc(=O)n1CCC([15CH3])=O	EN300-103435
COc1cccc(C(C)CC([15CH3])=O)c1	EN300-103456
Cn1ncc(C([15CH3])=O)cc1=O	EN300-103585
CS(=O)(=O)NCc1ccc(C([15CH3])=O)o1	EN300-103602
[15CH3]C(=O)CN1CCCOC1=O	EN300-103638
CCOC(=O)[C@@H]1C[C@H]1C([15CH3])=O	EN300-103679
Cc1cc(Br)sc1C([15CH3])=O	EN300-103681
[15CH3]C(=O)c1ccc2[nH]ncc2n1	EN300-103684
[15CH3]C(=O)CC1SC(N)=NC1=O	EN300-10369
[15CH3]C(=O)Cc1ccc2[nH]cnc2c1	EN300-103691
[15CH3]C(=O)c1cc2[nH]ccc2s1	EN300-103693
[15CH3]C(=O)c1cc2cccn2cn1	EN300-103718
Cc1nc(C)c(C([15CH3])=O)s1	EN300-10372
[15CH3]C(=O)c1cc2n(n1)CCCO2	EN300-103720
[15CH3]C(=O)c1cnn2c1OCCC2	EN300-103722
[15CH3]C(=O)c1cnc(Br)cn1	EN300-103725
[15CH3]C(=O)c1cncc(F)c1Cl	EN300-103731
[15CH3]C(=O)c1c(F)cc(C#N)cc1F	EN300-103736
Cc1oc(S(N)(=O)=O)cc1C([15CH3])=O	EN300-103739
COc1ccccc1C(F)(F)C([15CH3])=O	EN300-103771
CC(Sc1ccccn1)C([15CH3])=O	EN300-103800
CC1CC(C([15CH3])=O)C1	EN300-103807
CCC(C)CC(N)C([15CH3])=O	EN300-103808
