smiles,ID,rb,mw,heavy,chiral,hba,hbd,het_count,rings,rac,clogp,qed,rb_MPO,mw_MPO,heavy_MPO,het_count_MPO,hba_MPO,hbd_MPO,rac_MPO,rings_MPO,MPO
Cc1c(Cl)cccc1C(O)C(O)=O,EN300-24803253,2.0,200.62099999999998,13.0,1.0,2.0,2.0,4.0,1.0,1.0,1.7664199999999994,0.7651282008075823,0.8,0.4140791666666668,0.4666666666666667,0.0,1.0,0.6666666666666667,0.5,1.0,0.3944220588235293
COC(=O)CCCC(O)=O,EN300-24804,4.0,146.14200000000002,10.0,0.0,3.0,1.0,4.0,0.0,0.0,0.41429999999999984,0.5833845403418033,0.6,0.6410749999999998,0.6666666666666667,0.0,0.5,1.0,1.0,0.8572439828530728,0.36042780493021154
COc1cc(Cl)cc(Cl)c1C(O)=O,EN300-24805758,2.0,221.039,13.0,0.0,2.0,1.0,5.0,1.0,0.0,2.7002000000000006,0.8343805307908135,0.8,0.32900416666666676,0.4666666666666667,0.0,1.0,1.0,1.0,1.0,0.3063916666666666
Cc1c([nH]c2c(Cl)cccc12)C(O)=O,EN300-248089,1.0,209.632,14.0,0.0,1.0,2.0,4.0,2.0,0.0,2.8279199999999998,0.758963518676878,0.9,0.3765333333333333,0.4,0.0,1.0,0.6666666666666667,1.0,0.8572439828530728,0.3327268245380546
OC(=O)Cc1ccc2CCNc2c1,EN300-248123,2.0,177.203,13.0,0.0,2.0,2.0,3.0,2.0,0.0,1.2817,0.7150554892008476,0.8,0.5116541666666667,0.4666666666666667,0.5,1.0,0.6666666666666667,1.0,0.8572439828530728,0.2736930010086427
NC(CO)Cc1ccc(o1)C(O)=O,EN300-24813104,4.0,185.17899999999997,13.0,1.0,4.0,3.0,5.0,1.0,1.0,-0.16009999999999996,0.6052072167728884,0.6,0.4784208333333334,0.4666666666666667,0.0,0.0,0.33333333333333337,0.5,1.0,0.590774019607843
CO[C@H]1C[C@H](N(C)C1)C(O)=O,EN300-248137,2.0,159.185,11.0,2.0,3.0,1.0,4.0,1.0,0.0,-0.20990000000000025,0.6053758985103775,0.8,0.5867291666666667,0.6,0.0,0.5,1.0,1.0,1.0,0.3192083333333332
Cc1c[nH]nc1C(O)=O,EN300-248178,1.0,126.11499999999998,9.0,0.0,2.0,2.0,4.0,1.0,0.0,0.4163199999999999,0.5725181088502941,0.9,0.7245208333333334,0.7333333333333334,0.0,1.0,0.6666666666666667,1.0,1.0,0.24417401960784313
OC(=O)c1cc2cccnc2s1,EN300-248266,1.0,179.19999999999996,12.0,0.0,3.0,1.0,4.0,2.0,0.0,1.9945,0.7278825368552557,0.9,0.5033333333333335,0.5333333333333333,0.0,0.5,1.0,1.0,0.8572439828530728,0.32173074610668195
NCC1OCCC1C(O)=O,EN300-248268,2.0,145.158,10.0,2.0,3.0,2.0,4.0,1.0,2.0,-0.5652000000000004,0.5456962814956716,0.8,0.645175,0.6666666666666667,0.0,0.5,0.6666666666666667,0.0,1.0,0.46135196078431373
OC(=O)c1nnc(s1)C1CC1,EN300-248276,2.0,170.19299999999998,11.0,0.0,4.0,1.0,5.0,2.0,0.0,1.1137,0.7217909772058972,0.8,0.5408625,0.6,0.0,0.0,1.0,1.0,0.8572439828530728,0.3918253539498192
OC(=O)c1ccc2ccsc2c1,EN300-248323,1.0,178.21199999999996,12.0,0.0,2.0,1.0,3.0,2.0,0.0,2.599500000000001,0.7283170522070754,0.9,0.5074500000000002,0.5333333333333333,0.5,1.0,1.0,1.0,0.8572439828530728,0.20359937355766244
Cn1nc(O)cc1C(O)=O,EN300-248352,1.0,142.11399999999998,10.0,0.0,4.0,2.0,5.0,1.0,0.0,-0.17609999999999998,0.5700892844202978,0.9,0.6578583333333334,0.6666666666666667,0.0,0.0,0.6666666666666667,1.0,1.0,0.3775068627450979
Cc1n[nH]c2sc(cc12)C(O)=O,EN300-248443,1.0,182.20399999999998,12.0,0.0,3.0,2.0,5.0,2.0,0.0,1.6310200000000001,0.7039775298340678,0.9,0.4908166666666668,0.5333333333333333,0.0,0.5,0.6666666666666667,1.0,0.8572439828530728,0.36241898140079964
Cc1c(ccn1CCO)C(O)=O,EN300-2484686,3.0,169.18,12.0,0.0,3.0,2.0,4.0,1.0,0.0,0.48702,0.6916389201556925,0.7,0.5450833333333334,0.5333333333333333,0.0,0.5,0.6666666666666667,1.0,1.0,0.39469607843137255
C[C@@H]1CC[C@@H](O1)C(O)=O,EN300-248502,1.0,130.14299999999997,9.0,2.0,2.0,1.0,3.0,1.0,0.0,0.6385000000000001,0.5661479608467018,0.9,0.7077375000000001,0.7333333333333334,0.5,1.0,1.0,1.0,1.0,0.1481093137254902
COC1CCC1CC(O)=O,EN300-2485478,3.0,144.17,10.0,2.0,2.0,1.0,3.0,1.0,2.0,0.8861000000000001,0.6393360717794916,0.7,0.6492916666666667,0.6666666666666667,0.5,1.0,1.0,0.0,1.0,0.32753431372549024
CC1(CCC1)C(O)C(O)=O,EN300-2485490,2.0,144.17,10.0,1.0,2.0,2.0,3.0,1.0,1.0,0.6221,0.596993423076511,0.8,0.6492916666666667,0.6666666666666667,0.5,1.0,0.6666666666666667,0.5,1.0,0.2843970588235294
CO[C@@H]1C[C@H](CC(O)=O)C1,EN300-2485805,3.0,144.17,10.0,0.0,2.0,1.0,3.0,1.0,0.0,0.8860999999999999,0.6393360717794916,0.7,0.6492916666666667,0.6666666666666667,0.5,1.0,1.0,1.0,1.0,0.2098872549019608
OC(=O)CSc1cccc(Cl)c1,EN300-248600,3.0,202.662,12.0,0.0,2.0,1.0,4.0,1.0,0.0,2.516700000000001,0.7658115837109675,0.7,0.405575,0.5333333333333333,0.0,1.0,1.0,1.0,1.0,0.3130696078431372
CC(C)c1cn[nH]c1C(O)=O,EN300-2486115,2.0,154.16899999999998,11.0,0.0,2.0,2.0,4.0,1.0,0.0,1.2313,0.6728488325226141,0.8,0.6076291666666667,0.6,0.0,1.0,0.6666666666666667,1.0,1.0,0.29714166666666664
OC(=O)CS(=O)(=O)C1CC1,EN300-248618,3.0,164.182,10.0,0.0,3.0,1.0,5.0,1.0,0.0,-0.35179999999999967,0.618384452056623,0.7,0.5659083333333335,0.6666666666666667,0.0,0.5,1.0,1.0,1.0,0.33734411764705885
Cn1nc(C(O)=O)c2CCCCc12,EN300-248627,1.0,180.20699999999994,13.0,0.0,3.0,1.0,4.0,2.0,0.0,0.9971000000000001,0.7009466595632823,0.9,0.49913750000000023,0.4666666666666667,0.0,0.5,1.0,1.0,0.8572439828530728,0.33006751081256436
